"Final_EA_code","interview__id","Payment_id","s3q26","s3q27","s3q28","s3q29"
"410201010733","05a0fe0e9f714c0b84f108d501df571a",8,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",0,,1,89285,2
"410201010733","05a0fe0e9f714c0b84f108d501df571a",12,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",2,1,1,30000,4
"410201010733","05a0fe0e9f714c0b84f108d501df571a",10,1,1,30000,4
"410201010733","05a0fe0e9f714c0b84f108d501df571a",9,1,1,27000,4
"410201010733","05a0fe0e9f714c0b84f108d501df571a",6,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",3,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",11,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",4,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",5,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",1,2,,,
"410201010733","05a0fe0e9f714c0b84f108d501df571a",7,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",11,,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",7,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",12,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",1,1,1,22000,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",5,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",4,1,2,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",0,,1,1000,2
"223121030202","05f078de3c20400bb66156c3a52d43ec",6,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",10,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",9,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",2,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",8,2,,,
"223121030202","05f078de3c20400bb66156c3a52d43ec",3,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",1,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",2,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",0,,2,,
"415114070301","07ae8f7297234aee97940f7561f48346",6,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",5,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",4,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",3,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",11,1,1,6000,2
"415114070301","07ae8f7297234aee97940f7561f48346",12,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",10,1,1,3000,2
"415114070301","07ae8f7297234aee97940f7561f48346",9,1,1,1200,2
"415114070301","07ae8f7297234aee97940f7561f48346",8,2,,,
"415114070301","07ae8f7297234aee97940f7561f48346",7,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",10,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",6,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",7,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",2,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",8,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",3,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",5,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",9,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",11,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",1,1,1,7500,2
"204102040514","0878b9ca320646cbb31fafb49df1a623",0,,2,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",12,2,,,
"204102040514","0878b9ca320646cbb31fafb49df1a623",4,2,,,
"307202030201","09bfa283100c462d998e21c567116948",3,2,,,
"307202030201","09bfa283100c462d998e21c567116948",5,2,,,
"307202030201","09bfa283100c462d998e21c567116948",8,2,,,
"307202030201","09bfa283100c462d998e21c567116948",6,2,,,
"307202030201","09bfa283100c462d998e21c567116948",12,1,1,1000,2
"307202030201","09bfa283100c462d998e21c567116948",4,2,,,
"307202030201","09bfa283100c462d998e21c567116948",2,1,1,25000,4
"307202030201","09bfa283100c462d998e21c567116948",7,2,,,
"307202030201","09bfa283100c462d998e21c567116948",10,1,1,1000,2
"307202030201","09bfa283100c462d998e21c567116948",0,,1,8000,2
"307202030201","09bfa283100c462d998e21c567116948",1,1,1,60000,2
"307202030201","09bfa283100c462d998e21c567116948",11,1,1,5000,2
"307202030201","09bfa283100c462d998e21c567116948",9,1,1,6000,2
"107302030503","0aee3535b7234e049787609e8776fee8",1,1,1,6000,2
"107302030503","0aee3535b7234e049787609e8776fee8",4,1,2,,
